site1,part/number,site2,document/type,purchase/order/number,indication,supplier,first/qty,purchase/order/quantity,created/date,eta,total/po/qty,total/number/of/po,eta/status,final/po/qty,index/part/number
GREECE,ADC2701V,GREECE,Purchase Order,144884 BOII,O,LUDA,51,34,21-11-2024,14-02-2025,270,6,5,120,ADC2701V5
GREECE,ADC2701V,GREECE,Purchase Order,144961,O,LUDA,28,20,27-01-2025,27-05-2025,270,6,6,20,ADC2701V6
GREECE,ADC2709,GREECE,Purchase Order,144788,O,LUDA,31,60,04-09-2024,03-02-2025,160,5,1,100,ADC27091
GREECE,ADC2709,GREECE,Purchase Order,144860 BOII,O,LUDA,68,40,31-10-2024,03-02-2025,160,5,2,100,ADC27092
GREECE,ADC2709,GREECE,Purchase Order,144825 BO,O,LUDA,49,20,07-10-2024,10-02-2025,160,5,3,20,ADC27093
GREECE,ADC2709,GREECE,Purchase Order,144884 BO,O,LUDA,70,20,21-11-2024,14-02-2025,160,5,4,20,ADC27094
GREECE,ADC2709,GREECE,Purchase Order,144961,O,LUDA,47,20,27-01-2025,27-05-2025,160,5,5,20,ADC27095
GREECE,ADC2710V,GREECE,Purchase Order,144788 BO,O,LUDA,38,57,04-09-2024,03-02-2025,97,3,1,77,ADC2710V1
GREECE,ADC2710V,GREECE,Purchase Order,144860 BOII,O,LUDA,69,20,31-10-2024,03-02-2025,97,3,2,77,ADC2710V2
GREECE,ADC2710V,GREECE,Purchase Order,144884,O,LUDA,57,20,21-11-2024,14-02-2025,97,3,3,20,ADC2710V3
GREECE,ADC2711V,GREECE,Purchase Order,CEO20465-144944,O,CAP,3,30,15-01-2025,07-02-2025,30,1,1,30,ADC2711V1
GREECE,ADC2719V,GREECE,Purchase Order,144788,O,LUDA,32,50,04-09-2024,03-02-2025,240,6,1,150,ADC2719V1
GREECE,ADC2719V,GREECE,Purchase Order,144807,O,LUDA,28,20,23-09-2024,03-02-2025,240,6,2,150,ADC2719V2
GREECE,ADC2719V,GREECE,Purchase Order,144860,O,LUDA,30,80,31-10-2024,03-02-2025,240,6,3,150,ADC2719V3
GREECE,ADC2719V,GREECE,Purchase Order,144825 BO,O,LUDA,43,20,07-10-2024,10-02-2025,240,6,4,20,ADC2719V4
GREECE,ADC2719V,GREECE,Purchase Order,144884,O,LUDA,58,50,21-11-2024,14-02-2025,240,6,5,50,ADC2719V5
GREECE,ADC2719V,GREECE,Purchase Order,144933,O,LUDA,36,20,30-12-2024,29-04-2025,240,6,6,20,ADC2719V6
GREECE,ADC2720V,GREECE,Purchase Order,144860,O,LUDA,71,20,31-10-2024,03-02-2025,60,3,1,20,ADC2720V1
GREECE,ADC2720V,GREECE,Purchase Order,144884 BOII,O,LUDA,52,20,21-11-2024,14-02-2025,60,3,2,20,ADC2720V2
GREECE,ADC2720V,GREECE,Purchase Order,144905,O,LUDA,76,20,06-12-2024,26-03-2025,60,3,3,20,ADC2720V3
GREECE,ADC2722,GREECE,Purchase Order,144825 BOII,O,LUDA,63,20,07-10-2024,10-02-2025,20,1,1,20,ADC27221
GREECE,ADC2723,GREECE,Purchase Order,144860,O,LUDA,47,20,31-10-2024,03-02-2025,150,4,1,70,ADC27231
GREECE,ADC2723,GREECE,Purchase Order,144788 BO,O,LUDA,39,50,04-09-2024,03-02-2025,150,4,2,70,ADC27232
GREECE,ADC2723,GREECE,Purchase Order,144825 BO,O,LUDA,28,40,07-10-2024,10-02-2025,150,4,3,40,ADC27233
GREECE,ADC2723,GREECE,Purchase Order,144884 BO,O,LUDA,71,40,21-11-2024,14-02-2025,150,4,4,40,ADC27234
GREECE,ADC2724,GREECE,Purchase Order,144789,O,LUDA,57,20,04-09-2024,03-02-2025,60,3,1,40,ADC27241
GREECE,ADC2724,GREECE,Purchase Order,144860 BO,O,LUDA,71,20,31-10-2024,03-02-2025,60,3,2,40,ADC27242
GREECE,ADC2724,GREECE,Purchase Order,144884,O,LUDA,59,20,21-11-2024,14-02-2025,60,3,3,20,ADC27243
GREECE,ADC2725V,GREECE,Purchase Order,144860 BO,O,LUDA,72,20,31-10-2024,03-02-2025,20,1,1,20,ADC2725V1
GREECE,ADC2726V,GREECE,Purchase Order,144860,O,LUDA,81,20,31-10-2024,03-02-2025,40,2,1,20,ADC2726V1
GREECE,ADC2726V,GREECE,Purchase Order,144884 BO,O,LUDA,72,20,21-11-2024,14-02-2025,40,2,2,20,ADC2726V2
GREECE,ADC2727V,GREECE,Purchase Order,144807,O,LUDA,78,20,23-09-2024,03-02-2025,80,4,1,40,ADC2727V1
GREECE,ADC2727V,GREECE,Purchase Order,144860 BO,O,LUDA,73,20,31-10-2024,03-02-2025,80,4,2,40,ADC2727V2
GREECE,ADC2727V,GREECE,Purchase Order,144884,O,LUDA,60,20,21-11-2024,14-02-2025,80,4,3,20,ADC2727V3
GREECE,ADC2727V,GREECE,Purchase Order,144933,O,LUDA,120,20,30-12-2024,29-04-2025,80,4,4,20,ADC2727V4
GREECE,ADC2728,GREECE,Purchase Order,144807,O,LUDA,108,20,23-09-2024,03-02-2025,20,1,1,20,ADC27281
GREECE,ADC2729,GREECE,Purchase Order,CSO488278_REPLEN,O,CAP,104,2,08-01-2025,07-02-2025,2,1,1,2,ADC27291
