REC ID,DATE,DESCRIPTION,DOCUMENT NO,COMPANY NAME,PART NUMBER,UNIT PRICE,QTY,BACKORDER,PRIORITY CODE,CURRENT STOCK,PRSYPAPPSEC,SALES ORDERS,SALES-BACK ORDER,CUSTOMER TOTAL BO QTY,ACTUAL STOCK,ETA,TOTAL PO QTY,TOTAL NUMBER OF PO,FINAL PO QTY,RELEASE,NOTE,NUMBER OF DAYS ETA
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC238R,22.09,2.0,2.0,SPECIAL,0.0,0.0,0.0,2.0,2.0,0.0,2025-02-14,2.0,1.0,2.0,0.0,done,12.0
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC240R,18.92,2.0,2.0,SPECIAL,0.0,0.0,0.0,3.0,3.0,0.0,2025-01-29,3.0,2.0,1.0,0.0,done,-4.0
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC241L,23.16,2.0,2.0,SPECIAL,0.0,0.0,0.0,3.0,3.0,0.0,2025-01-29,3.0,2.0,1.0,0.0,done,-4.0
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC241R,23.16,2.0,2.0,SPECIAL,0.0,0.0,0.0,3.0,3.0,0.0,2025-01-29,3.0,3.0,1.0,0.0,done,-4.0
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC245L,14.9,2.0,2.0,SPECIAL,0.0,0.0,0.0,2.0,2.0,0.0,2025-02-14,2.0,1.0,2.0,0.0,done,12.0
906952.0,03-12-2024,NON EUR1 CALIPER+WBK+CVJOINT+STSUP,209104.0,(GAZ) COMLINE IRELAND LIMITED,CBC292L,25.53,1.0,1.0,SPECIAL,0.0,0.0,0.0,3.0,1.0,0.0,2025-01-29,1.0,1.0,1.0,0.0,done,-4.0
906952.0,03-12-2024,NON EUR1 CALIPER+WBK+CVJOINT+STSUP,209104.0,(GAZ) COMLINE IRELAND LIMITED,CBC134R,21.82,2.0,2.0,SPECIAL,0.0,0.0,0.0,4.0,2.0,0.0,2025-01-29,2.0,1.0,2.0,0.0,done,-4.0
906952.0,03-12-2024,NON EUR1 CALIPER+WBK+CVJOINT+STSUP,209104.0,(GAZ) COMLINE IRELAND LIMITED,CBC219R,19.82,1.0,1.0,SPECIAL,0.0,0.0,0.0,3.0,1.0,0.0,2025-01-29,1.0,1.0,1.0,0.0,done,-4.0
906952.0,03-12-2024,NON EUR1 CALIPER+WBK+CVJOINT+STSUP,209104.0,(GAZ) COMLINE IRELAND LIMITED,CBC235R,19.84,2.0,2.0,SPECIAL,0.0,0.0,0.0,4.0,4.0,0.0,2025-01-29,4.0,2.0,2.0,0.0,done,-4.0
906952.0,03-12-2024,NON EUR1 CALIPER+WBK+CVJOINT+STSUP,209104.0,(GAZ) COMLINE IRELAND LIMITED,CBC251R,20.39,1.0,1.0,SPECIAL,0.0,0.0,0.0,5.0,1.0,0.0,2025-01-29,5.0,2.0,1.0,0.0,done,-4.0
