standardcode,partnumber,customercode,customername,targetdate,status,2023-customer-sales,2024-customer-sales,number-of-customer-target,number-of-part-number-target,sales-after-target,total-sales-after-first-target
ADC0277VATI,ADC0277V,ATI,ATI,,Target Accepted,4,4,1,2,4,
ADC2700ATI,ADC2700,ATI,ATI,,Target Accepted,2,2,1,1,2,
CSL7075ATI,CSL7075,ATI,ATI,,Target Accepted,6,6,1,1,6,
EAF406ATI,EAF406,ATI,ATI,,Best Offered,16,26,1,1,20,
EAF745ATI,EAF745,ATI,ATI,,Best Offered,50,40,1,2,40,
EKF336-2ATI,EKF336-2,ATI,ATI,,Target Accepted,0,3,1,2,3,
EOF304ATI,EOF304,ATI,ATI,,Best Offered,0,4,2,4,4,
ADB01552ATI,ADB01552,ATI,ATI,,Target Accepted,405,333,1,1,252,
EAF780ATI,EAF780,ATI,ATI,,Target Accepted,6,30,2,3,10,
EOF005ATI,EOF005,ATI,ATI,,Target Accepted,900,650,2,3,400,
ADC0933KTD,ADC0933,KTD,KTD,,Target Accepted,0,4,1,1,4,
ADC1454VKTD,ADC1454V,KTD,KTD,,Target Accepted,0,2,1,1,2,
ADC1493VKTD,ADC1493V,KTD,KTD,,Target Accepted,8,6,1,1,6,
ADC1552VKTD,ADC1552V,KTD,KTD,,Best Offered,0,0,1,1,0,
ADC1624VKTD,ADC1624V,KTD,KTD,,Target Accepted,0,2,1,1,2,
ADC1725VKTD,ADC1725V,KTD,KTD,,Target Accepted,0,2,1,1,2,
ADC1736VKTD,ADC1736V,KTD,KTD,,Target Accepted,0,4,1,1,4,
ADC1908VKTD,ADC1908V,KTD,KTD,,No Discount,15,8,1,1,8,
ADC1918VKTD,ADC1918V,KTD,KTD,,Target Accepted,0,0,1,2,0,
ADC2409KTD,ADC2409,KTD,KTD,,Target Accepted,0,6,1,1,6,
ADC2912KTD,ADC2912,KTD,KTD,,Target Accepted,0,2,1,1,2,
ADC4064KTD,ADC4064,KTD,KTD,,Target Accepted,0,2,1,1,2,
CCA1213KTD,CCA1213,KTD,KTD,,Target Accepted,0,1,1,1,1,
CCA1344LKTD,CCA1344L,KTD,KTD,,Target Accepted,0,1,1,2,1,
CCA2213KTD,CCA2213,KTD,KTD,,Target Accepted,0,1,1,1,1,
CCA2344RKTD,CCA2344R,KTD,KTD,,Target Accepted,0,1,1,2,1,
CHA086KTD,CHA086,KTD,KTD,,Target Accepted,1,7,1,2,5,
CSL5066KTD,CSL5066,KTD,KTD,,Best Offered,0,0,1,1,0,
CSL6066KTD,CSL6066,KTD,KTD,,Best Offered,0,0,1,1,0,
CSL7123KTD,CSL7123,KTD,KTD,,Target Accepted,0,2,1,1,2,
CTR3260KTD,CTR3260,KTD,KTD,,Target Accepted,0,4,1,4,4,
